City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,lamu,-2.2717,40.902,24.64,85,0,6.12,KE,1737756105
314,pontevedra,42.431,-8.6444,12.86,94,100,10.9,ES,1737756106
315,mumbwa,-14.9783,27.0619,18.52,98,100,1.96,ZM,1737756107
316,kaoma,-14.7833,24.8,17.4,99,100,2.25,ZM,1737756108
317,wad az zaki,14.4619,32.2065,19.53,17,2,5.85,SD,1737756110
318,porirua,-41.1333,174.85,21.68,69,97,4.77,NZ,1737756111
319,lahat,-3.8,103.5333,22.48,97,99,0.98,ID,1737756112
320,belyy yar,53.6039,91.3903,-25.06,70,0,2.0,RU,1737756113
321,westport,41.1415,-73.3579,-0.55,47,22,0.89,US,1737756114
322,coquimbo,-29.9533,-71.3436,20.85,76,0,5.66,CL,1737756118
323,mount pearl,47.5166,-52.7813,-3.75,85,20,5.14,CA,1737756119
324,malvan,16.0667,73.4667,22.94,59,44,3.19,IN,1737756121
325,wainwright,52.839,-110.8572,-6.22,79,99,9.68,CA,1737756122
326,saudarkrokur,65.7461,-19.6394,-3.83,89,100,1.59,IS,1737756123
327,shimoda,34.6667,138.95,7.68,81,100,5.79,JP,1737756124
328,desaguadero,-16.5656,-69.0417,12.75,58,12,7.5,PE,1737756125
329,bollnas,61.3482,16.3946,1.54,98,100,4.75,SE,1737756127
330,mejit,10.2753,170.8646,26.71,78,100,7.8,MH,1737756128
331,ulladulla,-35.35,150.4667,19.44,66,100,2.24,AU,1737756129
332,suntar,62.1444,117.6319,-23.04,83,100,5.0,RU,1737756130
333,ad dilam,23.9915,47.1627,14.35,47,1,3.36,SA,1737756132
334,kogalym,62.2654,74.4791,-10.0,94,100,7.45,RU,1737756133
335,qionghai,19.2425,110.4642,18.95,95,6,2.34,CN,1737756134
336,cidade velha,14.9167,-23.6167,21.26,64,20,9.77,CV,1737756135
337,maceio,-9.6658,-35.7353,27.69,74,20,5.66,BR,1737756136
338,csurgo,46.2531,17.1006,4.42,95,79,3.35,HU,1737756138
339,edgewater,28.9889,-80.9023,11.01,58,0,5.14,US,1737756139
340,mollendo,-17.0231,-72.0147,21.37,81,81,2.5,PE,1737756140
341,chibougamau,49.9168,-74.3659,-19.21,84,100,4.63,CA,1737756141
342,vilyuchinsk,52.9306,158.4028,-12.85,84,6,4.95,RU,1737756143
343,novaya igirma,57.1334,103.9112,-26.1,95,100,3.24,RU,1737756144
344,gumdag,39.2061,54.5906,5.13,56,100,3.99,TM,1737756145
345,joshimath,30.5667,79.5667,1.1,29,0,5.1,IN,1737756146
346,nogliki,51.8333,143.1667,-22.4,100,20,2.59,RU,1737756147
347,puruandiro,20.0833,-101.5,22.34,26,98,2.8,MX,1737756149
348,mersa matruh,31.3525,27.2453,14.11,82,40,1.03,EG,1737756150
349,maragogi,-9.0122,-35.2225,26.12,76,0,3.71,BR,1737756151
350,khmilnyk,49.5598,27.9575,2.77,98,100,1.35,UA,1737756152
351,polyarnyy,69.1989,33.4478,-14.58,100,89,4.54,RU,1737756154
